stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
53968,53968,Saint-Michel / D'Hérelle ouest,45.565145,-73.612369,http://m.stm.info/fr/horaires/arrets/53968/bus,0,,1
53970,53970,Station Papineau (De Maisonneuve / Cartier),45.524065,-73.553120,http://m.stm.info/fr/horaires/arrets/53970/bus,0,,1
53971,53971,Ridgewood / No 3440,45.493816,-73.612408,http://m.stm.info/fr/horaires/arrets/53971/bus,0,,1
53972,53972,Ridgewood / No 3360,45.494334,-73.610248,http://m.stm.info/fr/horaires/arrets/53972/bus,0,,1
53973,53973,Gouin / No 12980,45.696811,-73.516577,http://m.stm.info/fr/horaires/arrets/53973/bus,0,,2
53974,53974,De Courcelle / Saint-Jacques,45.475559,-73.594559,http://m.stm.info/fr/horaires/arrets/53974/bus,0,,1
53975,53975,Van Horne / Linton,45.506762,-73.626838,http://m.stm.info/fr/horaires/arrets/53975/bus,0,,1
53976,53976,Van Horne / Linton,45.506775,-73.627111,http://m.stm.info/fr/horaires/arrets/53976/bus,0,,1
53977,53977,Maurice-Duplessis / Jean-Yves-Bigras,45.647723,-73.567147,http://m.stm.info/fr/horaires/arrets/53977/bus,0,,1
53978,53978,de l'Acadie / Place de l'Acadie,45.533605,-73.678755,http://m.stm.info/fr/horaires/arrets/53978/bus,0,,1
53979,53979,Hôpital Louis-H.-La Fontaine (Hochelaga/No 7401),45.588063,-73.526281,http://m.stm.info/fr/horaires/arrets/53979/bus,0,,1
53980,53980,Hôpital Louis-H.-La Fontaine (Hochelaga/No 7401),45.587394,-73.526584,http://m.stm.info/fr/horaires/arrets/53980/bus,0,,1
53981,53981,Polyvalente Édouard-Montpetit,45.576389,-73.534019,http://m.stm.info/fr/horaires/arrets/53981/bus,0,,1
53982,53982,Hochelaga / Vimont,45.563358,-73.541601,http://m.stm.info/fr/horaires/arrets/53982/bus,0,,2
53983,53983,Clark / Mozart,45.532747,-73.616109,http://m.stm.info/fr/horaires/arrets/53983/bus,0,,1
53984,53984,Clark / Saint-Zotique,45.531349,-73.613018,http://m.stm.info/fr/horaires/arrets/53984/bus,0,,1
53985,53985,Crémazie / de Reims,45.539841,-73.643152,http://m.stm.info/fr/horaires/arrets/53985/bus,0,,1
53986,53986,Station Charlevoix,45.477957,-73.569261,http://m.stm.info/fr/horaires/arrets/53986/bus,0,,1
53987,53987,Viau / Boulangerie POM,45.564534,-73.551558,http://m.stm.info/fr/horaires/arrets/53987/bus,0,,1
53988,53988,Stade Saputo,45.564019,-73.550718,http://m.stm.info/fr/horaires/arrets/53988/bus,0,,1
53989,53989,Sherbrooke / Yves-Thériault,45.679205,-73.501719,http://m.stm.info/fr/horaires/arrets/53989/bus,0,,1
53990,53990,François-Perrault / Michel-Ange,45.562372,-73.602481,http://m.stm.info/fr/horaires/arrets/53990/bus,0,,1
